department,professor
Computer Science,D. Zingaro
English,M. Garson
English,M.J. Levene
English,R.R. McLeod
English,L. Thomson
English,L. Blake
English,A. Gillespie
English,M. Gniadek
English,R. Greene
English,C. Hill
English,S. Radović
English,T.F. Robinson
English,M. Ruti
English,C. Scoville
English,A. Slater
English,L. Switzky
English,H. Syme
English,A. Thomas
English,D. White
English,D.Wright
"Criminology, Law and Society",E. Berrey
"Criminology, Law and Society",T. Bryan
"Criminology, Law and Society",L. Farah Schwartzman
"Criminology, Law and Society",J. Flores
"Criminology, Law and Society",P. Goodman
"Criminology, Law and Society",J. Haag
"Criminology, Law and Society",N. Innocente
"Criminology, Law and Society",S. Liu
"Criminology, Law and Society",P. Maurutto
"Criminology, Law and Society",A. Owusu-Bempah
"Criminology, Law and Society",D. Pettinicchio
"Criminology, Law and Society",Z. Richer
"Criminology, Law and Society",E. Schneiderhan
"Criminology, Law and Society",Y. Sherwood
"Criminology, Law and Society",C. Sibblis
"Criminology, Law and Society",C. Smith
"Theatre, Drama and Performance Studies",N.E. Copeland
"Theatre, Drama and Performance Studies",S. Johnson
"Theatre, Drama and Performance Studies",J. Gallagher-Ross
"Theatre, Drama and Performance Studies",M. Hupfield
"Theatre, Drama and Performance Studies",S. Lynch. B.A.H.
"Theatre, Drama and Performance Studies",M. Revermann
"Theatre, Drama and Performance Studies",L.L. Ridley. B.A.
"Theatre, Drama and Performance Studies",Sheridan Faculty
"Theatre, Drama and Performance Studies",M. Hutton
"Theatre, Drama and Performance Studies",D. Matheson
"Theatre, Drama and Performance Studies",M. Scott
Earth Science,D.J. Schulze
Earth Science,P. Ashwell
Earth Science,J. Halfar
Earth Science,M. Laflamme
Earth Science,S.K.Y. Lui
Economics,G.J. Anderson
Economics,S.M. Eddie
Economics,M. Faig
Economics,J.E. Floyd
Economics,M.J. Hare
Economics,J.A. Hynes
Economics,C. Pitchik
Economics,F. Reid
Economics,X. Zhu
Economics,V. Aivazian
Economics,C. Arteaga
Economics,L. Bailey
Economics,C. Baysan
Economics,R. Deb
Economics,M. Duarte
Economics,S. Dyrda
Economics,J. Gu
Economics,G. Kambourov
Economics,R. McMillan
Economics,A. Melino
Economics,P. Oreopoulos
Economics,D. Price
Economics,M. Rempel
Economics,X. Shi
Economics,E.A. Souza-Rodrigues
Economics,A. Weisbrod
Economics,R. Wolthoff
Economics,K. Yu
Economics,N. Zammit
Economics,R. Zarate
Economics,Y. Zhao
Environmental Geosciences,None
Environmental Management,None
Environmental Science,None
Philosophy,J.V. Canfield
Philosophy,B.D. Katz
Philosophy,J. Allen
Philosophy,N. Charlow
Philosophy,P. Clark
Philosophy,A. Koo
Philosophy,M. Matthen
Philosophy,A. Mullin
Philosophy,J. Nagel
Philosophy,D. Raffman
Philosophy,G. Rattan
Philosophy,M. Rozemond
Philosophy,A. Sepielli
Philosophy,S. Tenenbaum
Philosophy,O.W. Ware
Philosophy,J. Weisberg
Forensic Science,W.R. Cummins
Forensic Science,U.J. Krull
Forensic Science,M. Dryer
Forensic Science,T.L. Rogers
Forensic Science,N. Novroski
Forensic Science,V. Luk
Forensic Science,R.R. Larsen
Forensic Science,F. Wendt
Forensic Science,D. Urbszat
Forensic Science,K. Woodall
Forensic Science,E. Liscio
Forensic Science,C. Pakosh
Forensic Science,Wade Knaap
Forensic Science,
French,R. Hong
French,M.-P. Lory
French,P. Michelucci
French,E. Nikiema
French,M. Pirvulescu
French,A. Rannaud
French,K. Rehner
French,J. Steele
Geographical Information Systems,None
Geography,G. Gracie
Geography,R. Jaakson
Geography,T.F. McIlwraith
Geography,D.S. Munro
Geography,M. Adams
Geography,L. Besco
Geography,S. Brail
Geography,L. Brown
Geography,R.N. Buliung
Geography,T. Conway
Geography,P. Desrochers
Geography,T. Duval
Geography,M. Havelka
Geography,Y. He
Geography,S. Kant
Geography,V. Kuuire
Geography,N. Laliberte
Geography,I. Lehnherr
Geography,J. Leydon
Geography,B. Murck
Geography,A. Olive
Geography,T. Porter
Geography,T. Vinodrai
Geography,A. Walks
Geography,J. Wang
Geography,K. Wilson
Geography,T. Zhu
German,None
Language Studies,C Chen
Language Studies,Z. Mian
Language Studies,P. Robles-García
Hindi,None
History,S. Aster
History,R.E. Johnson
History,L.S. MacDowell
History,D.P. Morton
History,A.C. Murray
History,D.L. Raby
History,E. Brown
History,K. Bos
History,K. Coleman
History,M. Cowan
History,B. Gettler
History,J. Hanssen
History,M. Kasturi
History,T. Lam
History,J. MacArthur
History,M. Tavakoli-Targhi
History of Religions,N.F. McMullin
History of Religions,L.E. Schmidt
History of Religions,K.S. Derry
History of Religions,C. Emmrich
History of Religions,S.K. Metso
History of Religions,E. Raffaelli
History of Religions,A. Rao
History of Religions,S.A. Richardson
History of Religions,K. Ruffle
History of Religions,J.B. Scott
History of Religions,K. Smith
International Affairs,None
Italian,S. Bancheri
Italian,M. Lettieri
Italian,Undergraduate Program Assistant
Italian,Jester Manansala
Language Teaching and Learning,M. Lory
Language Teaching and Learning,K. Rehner
Language Teaching and Learning,P. Robles-García
Language Teaching and Learning,Undergraduate Program Assistant
Language Teaching and Learning,Jester Manansala
Latin American and Caribbean Studies,None
Linguistics,E. Atkinson
Linguistics,B. Beekhuizen
Linguistics,D. Denis
Linguistics,A. Kahnemuyipour
Linguistics,E. Nikiema
Linguistics,A. Ozburn
Linguistics,M. Pirvulescu
Linguistics,K. Rehner
Linguistics,J. Schertz
Linguistics,J. Steele
Linguistics,A. Taleghani
Linguistics,A. Taniguchi
Linguistics,M. Troberg
Management,V. Aivazian
Management,P. Akey
Management,O. Bountali
Management,L.J. Brooks
Management,A. Chattopadhyay
Management,F. Chen
Management,N. Chen
Management,R. Chiuzi
Management,L. Derksen
Management,R. Gaetani
Management,D. Goetz
Management,J. Grewal
Management,C. Hebert
Management,J. Hirsh
Management,T. Hossain
Management,A. Iqbal
Management,S. Kang
Management,T. Kirsch
Management,L. Kramer
Management,N. Lacetera
Management,P. Landry
Management,M. Osborne
Management,A. Park
Management,M. Schneider
Management,E. Schumann
Management,C. Seguin
Management,A. Steck
Management,D. Swanston
Management,S.M. Toh
Management,M.M. Tombak
Management,G. Trippen
Management,G. Virag
Management,D. Vyas
Management,M. Ye
Management,H. Yoo
Management,O. Yung
Management,M. Zoican
Management and Innovation,None
Mathematical Sciences,I.R. Graham
Mathematical Sciences,F.D. Tall
Mathematical Sciences,S. Tanny
Mathematical Sciences,A. Wilk
Mathematical Sciences,W. Weiss
Mathematical Sciences,I. Binder
Mathematical Sciences,A. Burazin
Mathematical Sciences,D. Dauvergne
Mathematical Sciences,J. De Simoi
Mathematical Sciences,S. Fuchs
Mathematical Sciences,M. Groechenig
Mathematical Sciences,T. Holden
Mathematical Sciences,M. Karrass
Mathematical Sciences,Y. Karshon
Mathematical Sciences,K. Khanin
Mathematical Sciences,Y. Liokumovich
Mathematical Sciences,A. Rennet
Mathematical Sciences,L. Seco
Mathematical Sciences,A. Shankar
Mathematical Sciences,Y. Shlapentokh-Rothman
Mathematical Sciences,J. Thind
Mathematical Sciences,M. Tvalavadze
Mathematical Sciences,S. Unger
Mathematical Sciences,M. Wesslén
Mathematical Sciences,M. Yampolsky
Mathematical Sciences,T. Yusun
Neuroscience,Brett Beston
Persian,None
Political Science,R.S. Beiner
Political Science,G. White
Political Science,N. Adiv
Political Science,N. Anderson
Political Science,M. Balaguera
Political Science,G. Dancy
Political Science,S.F. Bernstein
Political Science,R. Besco
Political Science,A. Braun
Political Science,A. Chang
Political Science,J. Clark
Political Science,N. Compaoré
Political Science,R.B. Day
Political Science,S. Kotsovilis
Political Science,S. Mukherjee
Political Science,E. Nacol
Political Science,A. Olive
Political Science,M. Philips
Political Science,A. Reisenbichler
Political Science,E. Schatz
Political Science,A. Smith
Psychology,T.M. Alloway
Psychology,K.R. Blankstein
Psychology,M. Daneman
Psychology,A.S. Fleming
Psychology,G.W. Kraemer
Psychology,G. Moraglia
Psychology,M.K. Pichora-Fuller
Psychology,P. Pliner
Psychology,J. Polivy
Psychology,E.M. Reingold
Psychology,E.G. Schellenberg
Psychology,B. Schneider
Psychology,M.L. Smith
Psychology,S.E. Trehub
Psychology,J.P. Andersen
Psychology,B. Beston
Psychology,E.N. Carlson
Psychology,C.G. Chambers
Psychology,J.M. Chung
Psychology,N.A.S. Farb
Psychology,K. Fukuda
Psychology,R.T. Gerlai
Psychology,D.J. Graham
Psychology,M.M. Holmes
Psychology,E.A. Impett
Psychology,E.K. Johnson
Psychology,S.B. Kamenetsky
Psychology,T. Malti
Psychology,L.J. Martin
Psychology,D.A. Monks
Psychology,S. Ronfard
Psychology,U. Schimmack
Psychology,J.E. Stellar
Psychology,D. Urbszat
Psychology,C. Vanden Bosch der Nederlanden
Psychology,D. VanderLaan
Sociology,M. Blute
Sociology,D. Brownfield
Sociology,D.F. Campbell
Sociology,H. Friedmann
Sociology,B. Green
Sociology,J.B. Kervin
Sociology,E. Silva
Sociology,J.H. Simpson
Sociology,M.W. Spencer
Sociology,J. Adese
Sociology,Z. Baber
Sociology,J. Baker
Sociology,E. Berrey
Sociology,T. Bryan
Sociology,H.Y. Choo
Sociology,C. Cranford
Sociology,L. Farah Schwartzman
Sociology,J. Flores
Sociology,P. Goodman
Sociology,R. Gray
Sociology,J. Haag
Sociology,S. Hoffman
Sociology,N. Innocente
Sociology,J. Johnston
Sociology,A. Korteweg
Sociology,S. Liu
Sociology,N. Maghbouleh
Sociology,P. Maurutto
Sociology,A. Miles
Sociology,M. Milkie
Sociology,A. Owusu-Bempah
Sociology,D. Pettinicchio
Sociology,K. Plys
Sociology,Z. Richer
Sociology,L. Richter
Sociology,E. Schneiderhan
Sociology,Y. Sherwood
Sociology,C. Sibblis
Sociology,C. Smith
Sociology,G. Super
South Asian Humanities,None
Spanish,P. Robles-García
Spanish,Spanish Courses Coordinator
Spanish,Professor Pablo Robles-García
"Statistics, Applied",A. Weir
"Statistics, Applied",O. Aghababaei Jazi
"Statistics, Applied",L. Al Labadi
"Statistics, Applied",L.J. Brunner
"Statistics, Applied",D. Kong
"Statistics, Applied",A. Nosedal-Sánchez
"Statistics, Applied",S. Volgushev
Study of University Pedagogy,K. Allen
Study of University Pedagogy,S. Batacharya
Study of University Pedagogy,M. Blaauw-Hara
Study of University Pedagogy,A. Burazin
Study of University Pedagogy,M. deBraga
Study of University Pedagogy,C. Eaton
Study of University Pedagogy,T. Evans-Tokaryk
Study of University Pedagogy,J. Garbati
Study of University Pedagogy,W. Gitari
Study of University Pedagogy,S. Ibrahim
Study of University Pedagogy,M. Kaler
Study of University Pedagogy,M. Karrass
Study of University Pedagogy,P. Kang
Study of University Pedagogy,A. Paxton
Study of University Pedagogy,N. Rodriguez
Study of University Pedagogy,J. Rose
Study of University Pedagogy,S. Seeley
Study of University Pedagogy,S. Stewart
Study of University Pedagogy,L. Taylor
Study of University Pedagogy,O. Tekin
Study of University Pedagogy,P.M. Tran
Study of University Pedagogy,Z. Wang
Study of University Pedagogy,J. Vroom
Visual Culture and Communication,K. Jain
Visual Culture and Communication,L. Kaplan
Visual Culture and Communication,J.P. Ricco
Visual Culture and Communication,M. Sutherland
"Women, Gender and Sexuality Studies",J. G. Simalchik
"Women, Gender and Sexuality Studies",B. Bain
"Women, Gender and Sexuality Studies",K. Bos
"Women, Gender and Sexuality Studies",N. Charles
"Women, Gender and Sexuality Studies",J.A. Ellapen
"Women, Gender and Sexuality Studies",R.C. Lord
