Course Code,Course Title,Credit,Distribution,Recommended Prep,Pre Requisites,Exclusion
 ANT314H5 , Archaeological Theory ,0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT316H5 , South Asian Archaeology ,0.5,Social Science,None,( ANT200H5 and  ANT201H5) or  HIS282H5 or  RLG205H5,None
 ANT317H5 , Pre-contact Indigenous History of Eastern North America ,0.5,Science,None,ANT200H5 and  ANT201H5,ANT317H1
 ANT318H5 , Archaeological Fieldwork ,0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT320H5 , Archaeological Approaches to Technology ,0.5,Science,ANT204H5 or  ANT207H5,ANT200H5 and  ANT201H5,None
 ANT322H5 , Anthropology of Youth ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT322H1
 ANT327H5 , Agricultural Origins:  The Second Revolution ,0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT331H5 , The Biology of Human Sexuality ,0.5,Science,ANT211H5,ANT202H5 or  ANT203H5 or  ANT211H5,ANT330H5 and  ANT331Y5
 ANT332H5 , Human Origins I: Early Ancestors to Homo ,0.5,Science,None,ANT202H5 and  ANT203H5,ANT332Y5 or  ANT335Y1 or  ANTC16H3 or  ANTC17H3
 ANT333H5 , Human Origins II: The genus Homo ,0.5,Science,None,ANT332H5,ANT332Y5 or  ANT335Y1 or  ANTC16H3 or  ANTC17H3
 ANT334H5 , Human Osteology ,0.5,Science,None,ANT202H5 and  ANT203H5,ANT334Y5 or  ANT334H1 or  ANT334Y1 or  ANTC47H3
 ANT335H5 , Anthropology of Gender ,0.5,Social Science,ANT202H5 and  ANT203H5,ANT204H5 or  ANT206H5 or  ANT207H5,ANT331Y5 or  ANT343Y1 or  ANT343H1 or  ANTC15H3
 ANT337H5 , Anthropology of Growth and Development ,0.5,Science,None,( ANT202H5 or  ANT203H5) and  ANT220H5,None
 ANT338H5 , Laboratory Methods in Biological Anthropology ,0.5,Science,None,( ANT202H5 or  ANT203H5) and  ANT220H5,None
 ANT340H5 , Osteological Theory and Methods ,0.5,Science,None,ANT334H5,ANT334Y5 or  ANTC48H3
 ANT341H5 , Anthropology of Infectious Disease ,0.5,Science,None,( ANT202H5 or  ANT204H5) and  ANT220H5,None
 ANT350H5 , Globalization and the Changing World of Work ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT350H1
 ANT351H5 ," Money, Markets, Gifts: Topics in Economic Anthropology ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT378H1 and  ANTC19H3 and  ANTC20H3
 ANT352H5 ," Protest, Power and Authority: Topics in Political Anthropology ",0.5,Social Science,None,ANT204H5 or  ANT207H5 or  POL113H5 or  POL200Y5,ANTC32H3
 ANT353H5 ," Queer Bodies: Gender, Disability, and Illness ",0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT381H5S - Special Topics in Sociocultural and Linguistic Anthropology (Winter 2021)
 ANT354H5 , Capitalism and its Rebels ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT322H5 in Spring 2014
 ANT355H5 ," Disabled Cyborgs and Racist Robots: Bodies, Technologies, and Social Justice ",0.5,Social Science,None,8.0 credits of which 0.5 credits must be a social sciences or humanities course at the 200-level or higher,None
 ANT357H5 ," Nature, People and Power: Topics in Environmental Anthropology ",0.5,Social Science,None,ANT204H5,ANT351H1 and  ANT457H5
 ANT358H5 , Field Methods in Sociocultural Anthropology ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT369H1 and  ANTC60H3
 ANT360H5 , Anthropology of Religion ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT356H1 and  ANTC33H3
 ANT361H5 , Language and Culture in Southeast Asia ,0.5,Social Science,None,ANT204H5 or  ANT206H5,None
 ANT362H5 , Language in Culture and Society ,0.5,Social Science,None,ANT204H5 or  ANT207H5 and  ANT206H5,None
 ANT363H5 , Magic and Science ,0.5,Social Science,None,ANT204H5 or  ANT207H5,None
 ANT364H5 ," Fieldwork in Language, Culture, and Society ",0.5,Social Science,None,ANT204H5 or  ANT206H5 or  JAL353H5,None
 ANT365H5 ," Meaning, Self, Society ",0.5,Social Science,None,ANT204H5 or  ANT207H5,None
 ANT367H5 , Sister Species: Lessons from the chimpanzee ,0.5,Science,None,ANT202H5 and  ANT203H5,None
 ANT368H5 , World Religions and Ecology ,0.5,Social Science,None,ANT204H5 or  ANT207H5 or  RLG101H5 or  ENV100Y5,RLG311H5
 ANT369H5 , Religious Violence and Nonviolence ,0.5,Social Science,None,ANT204H5 or  ANT207H5 or  RLG101H5,RLG317H5
 ANT370H5 ," Environment, Culture and Film ",0.5,Social Science,None,ANT204H5 or  ANT207H5 or  ENV100Y5,None
 ANT380H5 , Special Topics in Biological Anthropology and Archaeology ,0.5,Science,None,Appropriate 200-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT381H5 , Special Topics in Sociocultural and Linguistic Anthropology ,0.5,Social Science,None,Appropriate 200-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT397H5 , Independent Study ,0.5,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT397Y5 ,  Independent Study ,1.0,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT398H5 , Independent Reading ,0.5,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT398Y5 , Independent Reading ,1.0,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT399H5 , Research Opportunity Program ,0.5,None,None,None,ANT399Y5
 ANT399Y5 , Research Opportunity Program ,1.0,None,None,None,ANT399H5
 ANT402H5 ," Wild Nights: Sleep, evolution, and performance in the 21st century ",0.5,Science,"Priority may be given to students who are considering a Master's thesis in anthropology, psychology, or biology. Basic statistics.",( ANT202H5 or  ANT203H5 or  ANT220H5) and 2.0 credits in 300-400 level Anthropology or Psychology or Biology courses,None
 ANT403H5 , Social Learning and Cultural Patterns ,0.5,Science,None,At least 1.5 credits from ( ANT200H5 or  ANT201H5 or  ANT202H5 or  ANT204H5 or  ANT206H5 or  ANT218H5) and 2.0 credits at the 300-400 level in Anthropology or Psychology or Biology courses,None
 ANT404H5 , Current Topics in Palaeoanthropology ,0.5,Science,ANT332H5 and  ANT333H5,ANT202H5 and  ANT203H5 and 1.0 credits in 300-level anthropology courses and departmental approval.,None
 ANT405H5 , Behind Bars: Anthropology of Institutions and Confinement ,0.5,Science,None,ANT200H5 and  ANT220H5,None
 ANT407H5 , Quantitative Methods in Archaeology and Biological Anthropology ,0.5,Science,None,( ANT200H5 and  ANT201H5) or ( ANT202H5 and  ANT203H5),ANTC35H3 and  BIO360H5 and  BIO361H5 and  ECO220Y5 and  ECO227Y5 and  PSY201H5 and  PSY202H5 and  SOC300Y5 and ( SOC350H5 and  SOC351H5) and  STA218H5 and  STA220H5 and  STA221H5 and  STA256H5 and  STA258H5 and  STA260H5
 ANT414H5 , People and Plants in Prehistory ,0.5,Science,None,"ANT200H5 and  ANT201H5 and 0.5 credit at a 300-level archaeology course, or permission of department",None
 ANT415H5 , Faunal Archaeo-Osteology ,0.5,Science,ANT312H5 or ( ANT334H5 and  ANT340H5),( ANT200H5 and  ANT201H5) and ( ANT306H5 or  ANT308H5 or  ANT312H5 or  ANT318H5),ANT415Y5 and  ANT415Y1
 ANT416H5 , Advanced Archaeological Analysis ,0.5,Science,None,ANT312H5,ANT312Y1
 ANT418H5 , Advanced Archaeological Fieldwork ,0.5,Science,None,ANT318H5,None
 ANT430H5 , Special Problems in Biological Anthropology and Archaeology ,0.5,Science,None,Appropriate 200-level and/or 300-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT431H5 , Special Problems in Sociocultural and Linguistic Anthropology ,0.5,Social Science,None,Appropriate 200-level and/or 300-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT432H5 , Advanced Seminar in Biological Anthropology and Archaeology ,0.5,Science,None,Appropriate 200-level and/or 300-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT433H5 , Advanced Seminar in Sociocultural and Linguistic Anthropology ,0.5,Social Science,None,Appropriate 200-level and/or 300-level prerequisite core course requirement(s) will be posted on the departmental website along with the Special Topics title and description prior to course registration.,None
 ANT434H5 , Palaeopathology ,0.5,Science,None,ANT334H5,None
 ANT436H5 , Theory and Methods in Molecular Anthropology ,0.5,Science,None,( ANT202H5 and  ANT203H5) and 1.0 credits in 300 level Anthropology courses,ANT336H5
 ANT437H5 , Advanced Seminar in the Anthropology of Health ,0.5,Science,None,( ANT202H5 or  ANT204H5) and  ANT220H5,None
 ANT438H5 , The Development of Thought in Biological Anthropology ,0.5,Science,None,( ANT202H5 and  ANT203H5) and 1.0 credit in300 level Biological Anthropology course,None
 ANT439H5 , Advanced Forensic Anthropology ,0.5,Science,ANT306H5,ANT205H5 and  ANT334H5,None
 ANT441H5 , Advanced Bioarchaeology ,0.5,Science,None,ANT340H5,ANTD35H3
 ANT455H5 , TOXIC! The anthropology of toxicity ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANT433H5S - Advanced Seminar in Sociocultural and Linguistic Anthropology (Winter 2021)
 ANT460H5 , Theory in Sociocultural Anthropology ,0.5,Social Science,None,ANT204H5 or  ANT207H5,ANTD24H3
 ANT462H5 , Living and Dying: Topics in Medical Anthropology and Global Health ,0.5,Social Science,None,ANT204H5,None
 ANT463H5 ," Anthropologies of Water: On Meaning, Value, and Futures ",0.5,Social Science,None,ANT204H5 or  ENV100Y5 or permission of department,None
 ANT464H5 , The End of Coal: An Ethnographic Approach ,0.5,Social Science,None,ANT204H5 or  ENV100Y5 or permission of department,None
 ANT465H5 , The Anthropology of Islam ,0.5,Social Science,None,1.0 credit at the 300-level sociocultural anthropology course or Permission of Instructor,None
 ANT466H5 , Language in Anthropological Thought ,0.5,Social Science,None,ANT204H5 or  ANT206H5 and 0.5 credit at the 300-level in sociocultural or linguistic anthropology,ANT425H1
 ANT467H5 , Are Media Turning Humans into Cyborgs? ,0.5,Social Science,None,ANT204H5 or  ANT207H5 or permission of the department,None
 ANT497H5 , Advanced Independent Study ,0.5,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT497Y5 , Advanced Independent Study ,1.0,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT498H5 , Advanced Independent Reading ,0.5,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT498Y5 , Advanced Independent Reading ,1.0,"Science, Social Science",None,Permission of Instructor and Permission of Department,None
 ANT499H5 , Research Opportunity Program ,0.5,None,None,Permission of Instructor and Permission of Department,None
 ANT499Y5 , Research Opportunity Program ,1.0,None,None,Permission of Instructor and Permission of Department,None
 ARA210H5 , Arab Culture I ,0.5,Humanities,None,None,None
 ARA212Y5 , Introductory Arabic ,1.0,Humanities,None,All students who are enrolling in an ARA language course for the FIRST time are required to complete a language assessment questionnaire. Please visit https://www.utm.utoronto.ca/language-studies/language-course-assessment…,"ARA211H5 or  ARA211Y5 or ( LGGA40H3 and  LGGA41H3) or ( NMC210Y1 or  NML210Y1) or higher, native speakers."
 ARA300Y5 , Intermediate Arabic for Heritage Learners ,1.0,Humanities,None,As determined by assessment questionnaire (https://www.utm.utoronto.ca/language-studies/language-course-assessment…).,ARA211H5 and  ARA311H5
 ARA305Y5 , Introductory Egyptian Colloquial Arabic ,1.0,Humanities,None,ARA212Y5,None
 ARA312Y5 , Intermediate Arabic ,1.0,Humanities,None,ARA212Y5,Native users or  NMC310Y1 or  NML310Y1 or  LGGC42H3 or  LGGC43H3 or  ARA211H5 or  ARA311H5
 ARA400Y5 , Advanced Arabic for Heritage Learners ,1.0,Humanities,None,ARA300Y5 or appropriate language level as indicated by the language assessment questionnaire (www.utm.utoronto.ca/language-studies/ara-language-course-assessment-que…).,ARA412Y5 and  NML410Y1
 ARA408H5 , Arabs in Western Literature and Arts: Reception and Interpretation ,0.5,Humanities,None,Open to all students who have completed 9.0 credits.,None
 ARA410H5 , Advanced Arabic Reading I: Reading the Sacred and the Legendary ,0.5,Humanities,None,ARA311H5 or  ARA312Y5,None
 ARA411H5 , Advanced Arabic Reading II: Literary Journeys into the Past ,0.5,Humanities,ARA410H5,ARA311H5 or  ARA312Y5,None
 ARA412Y5 , Advanced Arabic ,1.0,Humanities,None,( ARA312Y5 or  ARA311H5). Students who have not completed  ARA312Y5 or  ARA311H5 must obtain permission from the department before enrolling.,NML410Y1 or  ARA400Y5
 AST101H5 , Exploring the Solar System ,0.5,Science,None,None,AST101H1 or  AST121H1 or  AST221H1 or  ASTA01H3
 AST110H5 , Introduction to Astronomical Observations ,0.5,Science,SPH4U and MHF4U and MCV4U,None,AST326Y1
 AST115H5 , Cultural Astronomy ,0.5,Science,None,4.0 full course credits,AST101H1 or  AST101H5 or  AST121H1 or  AST201H1 or  AST201H5 or  AST215H5 or  AST210H1 or  ASTB03H3
 AST201H5 , Exploring the Universe ,0.5,Science,None,None,AST121H1 or  AST201H1 or  AST210H1 or  AST221H1 or  AST222H1 or  ASTA02H3 or  ASTB23H3
 AST221H5 ," Astrophysics I – Planets, Sun and Stars ",0.5,Science,None,AST110H5 and [( MAT135H5 and  MAT136H5) or  MAT135Y5 or  MAT137Y5 or  MAT157Y5] and ( PHY146H5 and  PHY147H5),AST221H1
 AST222H5 ," Astrophysics II – Stellar Systems, Galaxies and the Universe ",0.5,Science,None,AST221H5,AST222H1
 AST252H5 , Life in the Universe ,0.5,Science,None,0.5 credit from  CHM110H5 or  CHM120H5 or  ERS101H5 or  ERS111H5 or  PHY136H5 or  PHY137H5 or  PHY146H5 or  PHY147H5,AST221H1 or  AST222H1 or  AST251H1
 AST299Y5 , Research Opportunity Program ,1.0,Science,None,None,None
 AST320H5 , Astrophysics III – Unsolved Problems in Astrophysics ,0.5,Science,None,AST222H5,AST320H1
 AST399Y5 , Research Opportunity Program ,1.0,Science,None,None,None
 BIO152H5 , Introduction to Evolution and Evolutionary Genetics ,0.5,Science,None,Grade 12 SBI4U Biology (minimum grade of 70%),BIO130H1 or  BIOA01H3
 BIO153H5 , Diversity of Organisms ,0.5,Science,None,BIO152H5,BIO120H1 or  BIOA02H3
 BIO200H5 , Introduction to Pharmacology:  Pharmacokinetic Principles ,0.5,Science,None,BIO152H5 and  BIO153H5 and  CHM110H5 and  CHM120H5,PCL201H1 or  JBC201H5
 BIO201H5 , The Biology Behind the News ,0.5,Science,None,None,Any BIO course (except  BIO211H5) taken previously or concurrently.
 BIO202H5 , Introductory Animal Physiology ,0.5,Science,None,BIO152H5 and  BIO153H5 and  CHM110H5 and  CHM120H5,BIO204H5 or ( BIO270H1 or  BIO271H1) or ( BIOB32H3 or  BIOB34H3)
 BIO203H5 , Introductory Plant Morphology and Physiology ,0.5,Science,None,BIO152H5 and  BIO153H5 and  CHM110H5 and  CHM120H5,BIO204H5 or  BIO251H1
 BIO205H5 , Ecology ,0.5,Science,None,( BIO152H5 and  BIO153H5) or  ( ENV100Y5 for students in Environmental Programs),BIOB50H3
 BIO206H5 , Introductory Cell and Molecular Biology ,0.5,Science,None,BIO152H5 and  CHM110H5 and  CHM120H5,BIO230H1 or  BIO255H1 or  BIOB10Y3 or  BIOB11H3 or  BIOB12H3
 BIO207H5 , Introductory Genetics ,0.5,Science,None,BIO152H5 and  BIO153H5 and  BIO206H5,BIO260H1 or  HMB265H1 or  BIOC15H3
 BIO208H5 , Fundamentals of Human Anatomy and Physiology I ,0.5,Science,None,BIO152H5 and  BIO153H5,BIO210H5 or  BIO210Y5Y or  BIOB33H3 or BIOB35H5
 BIO209H5 , Fundamentals of Human Anatomy and Physiology II ,0.5,Science,None,BIO208H5,BIO210H5 or  BIO210Y5Y or  BIOB33H3 or BIOB35H5
 BIO211H5 , The History of Our Living Planet ,0.5,Science,None,None,Any BIO course (except  BIO201H5) taken previously or concurrently.
 BIO259H5 , Introduction to Biological Data ,0.5,Science,None,BIO152H5 and  BIO153H5,BIOB20H3
 BIO299Y5 , Research Opportunity Program ,1.0,Science,None,None,None
 BIO304H5 , Physiology of Neurons and Muscle ,0.5,Science,PHY100H5,BIO202H5 or  BIO204H5 or  BIO206H5 or ( BIO208H5 and  BIO209H5) or  BIO210Y5,CJH332H1 or  CSB332H1
 BIO310H5 , Physiology of Regulatory Systems ,0.5,Science,None,BIO202H5 or  BIO204H5 or ( BIO208H5 and  BIO209H5) or  BIO210Y5,PSL300H1 and  PSL301H1
 BIO311H5 , Landscape Ecology ,0.5,Science,BIO360H5,"BIO205H5 and ( BIO259H5 or  STA215H5) and permission of instructor
* STA215H5 will no longer be accepted as an appropriate prerequisite course AFTER 2022-2023 Academic year. Beginning 2023-2024 Academic year all students will be required to complete  BIO259H5 as the statistics prerequisite course.",GGR311H5
 BIO312H5 , Plant Physiology ,0.5,Science,None,BIO203H5 or  BIO204H5,None
 BIO313H5 , Field Methods and Experimental Design in Ecology ,0.5,Science,None,"( BIO205H5 or  BIO259H5 or  STA215H5 or  PSY201H5) or equivalent
* PSY201H5 and  STA215H5 will no longer be accepted as an appropriate prerequisite course AFTER 2022-2023 Academic year. Beginning 2023-2024 Academic year all students will be required to complete  BIO259H5 as the prerequisite statistics course.",None
 BIO314H5 , Laboratory in Cell and Molecular Biology ,0.5,Science,None,2013-14 and prior:  BIO215H5 and 2014-15 onward:  BIO206H5,None
 BIO315H5 , Human Cell Biology ,0.5,Science,None,"2013-14 and prior:  BIO206H5 and  BIO207H5 and  BIO215H5 and 2014-15 onward:  BIO206H5 and  BIO207H5
NOTE:  BIO206H5 with NO practical component is not an acceptable pre-requisite for this course without  BIO215H5.",None
 BIO318Y5 , Animal Behaviour ,1.0,Science,None,BIO152H5 and  BIO153H5,BIO328H5 or  PSY252H5 or  PSY352H5
 BIO320H5 , Sensory and Cognitive Ecology ,0.5,Science,None,BIO202H5 or  BIO204H5,PSY362H5
 BIO324H5 , Plant Biochemistry ,0.5,Science,BIO312H5 and  CHM242H5 and  CHM362H5,BIO203H5 and  BIO206H5 and  CHM120H5 or permission of instructor,CSB475H1
 BIO325H5 , Biomechanics ,0.5,Science,BIO202H5 or  BIO204H5,BIO152H5 and  BIO153H5,None
 BIO326H5 , Ornithology ,0.5,Science,BIO202H5,BIO152H5 and  BIO153H5 and  BIO205H5,EEB386H1
 BIO328H5 , Lectures in Animal Behaviour ,0.5,Science,None,BIO152H5 and  BIO153H5,BIO318Y5 or  PSY252H5 or  PSY352H5
 BIO330H5 , Plant Ecology ,0.5,Science,None,( BIO203H5 or  BIO204H5) and  BIO205H5,None
 BIO331H5 , Ecology of Communities ,0.5,Science,None,BIO205H5 and ( BIO360H5 or  STA215H5),None
 BIO332H5 , Biology Field Research ,0.5,Science,STA215H5 or equivalent 200-level STA course,"6.0 credits and current registration in a Biology, Ecology, Environment/Geography or Earth Science program and permission of the instructor. Appropriate upper level BIO prerequisite core course requirements will be posted on the Biology department website. Any additional unique prerequisites for the course will be posted one year in advance of the move to a new location or with a change of instructor.",None
 BIO333H5 , Freshwater Ecology ,0.5,Science,None,BIO205H5 and  CHM110H5 and  CHM120H5,BIO332Y5 or  BIO337H5
 BIO335H5 , Mycology ,0.5,Science,None,( BIO152H5 and  BIO153H5) or  any 200 level course in BIO.,None
 BIO339H5 , Plant Identification and Systematics ,0.5,Science,None,( BIO203H5 or  BIO204H5) plus 0.5 credit from  BIO205H5 and  BIO206H5 and  BIO207H5,EEB337H1
 BIO341H5 , Advanced Genetics ,0.5,Science,None,"2013-14 and prior:  BIO206H5 and  BIO207H5 and  BIO215H5 and 2014-15 onward:  BIO206H5 and  BIO207H5
NOTE:  BIO206H5 with NO practical component is not an acceptable pre-requisite for this course without  BIO215H5.",None
 BIO342H5 , Evolutionary Biology ,0.5,Science,( BIO259H5 or  BIO360H5 or  STA215H5) (strongly recommended),BIO207H5,None
 BIO347H5 , Epigenetics ,0.5,Science,BIO202H5 and  BIO203H5,BIO206H5 and  BIO207H5,BIOD19H3 or  CSB458H1
 BIO353H5 , Plant Development ,0.5,Science,None,BIO203H5,CSB340H51
 BIO354H5 , Vertebrate Form and Function ,0.5,Science,None,BIO152H5 and  BIO153H5 and [( BIO208H5 and  BIO209H5) or  BIO210Y5],None
 BIO356H5 , Major Features of Vertebrate Evolution ,0.5,Science,BIO259H5 or  BIO360H5 or  STA215H5,( BIO208H5 and  BIO209H5) or  BIO210Y5Y,None
 BIO360H5 , Biometrics I ,0.5,Science,None,"BIO259H5 or  STA215H5
* STA215H5 will no longer be accepted as an appropriate prerequisite course AFTER 2022-2023 Academic year. Beginning 2023-2024 Academic year all students will be required to complete  BIO259H5 as the statistics prerequisite course.",ECO220Y5 or  PSY202H5 or  STA221H5
 BIO361H5 , Biometrics II ,0.5,Science,None,BIO360H5,ECO220Y5
 BIO362H5 , Bioinformatics ,0.5,Science,None,BIO206H5 and  BIO207H5,None
 BIO368H5 , Medicinal Plants and Human Health ,0.5,Science,CHM242H5,BIO203H5 and  BIO206H5,NFS400H1
 BIO370Y5 , Microbiology ,1.0,Science,None,BIO206H5 and  BIO207H5 and 2013-14 and prior:  BIO206H5 and  BIO207H5 and  BIO215H5;,None
 BIO371H5 , Microbiology Lectures ,0.5,Science,None,BIO206H5 and  BIO207H5,BIO370Y5
 BIO372H5 , Molecular Biology ,0.5,Science,CHM361H5,BIO206H5 and  BIO207H5 and  CHM242H5,JBC372H5 or  CHM360Y5 or  JLM349H1 or  MGB311Y1
 BIO373H5 , Environmental Microbiology ,0.5,Science,None,BIO205H5 and  BIO206H5,None
 BIO374H5 , Modern Biotechnology ,0.5,Science,None,2013-14 and prior:  BIO215H5 and 2014-15 onward:  BIO206H5,None
 BIO375H5 , Introductory Medical Biotechnology ,0.5,Science,None,"Completion of 2.0 credits in Biology, plus ( BIO259H5 or  BIO360H5 or  STA215H5 or  STA220H5 or  PSY201H5)",None
 BIO376H5 , Marine Ecology ,0.5,Science,None,BIO152H5 and  BIO153H5 and  BIO205H5,None
 BIO378H5 ," The Biology of Marine Mammals: evolution, physiology, ecology and conservation ",0.5,Science,None,BIO152H5 and  BIO153H5 and  BIO202H5 and  BIO205H5,None
 BIO380H5 , Human Development ,0.5,Science,BIO202H5 or  BIO204H5 or  BIO315H5,BIO206H5 and  BIO207H5,None
 BIO399Y5 , Research Opportunity Program ,1.0,Science,None,None,None
 BIO400Y5 , Biology Internship ,1.0,Science,None,"Fourth year standing in Biology Specialist or Major Program, 3.0 CGPA and permission of instructor","Students may not have concurrent enrolment in any other internship, research, or ROP course."
 BIO403H5 , Developmental Neurobiology ,0.5,Science,None,BIO304H5,BIO483H5 (Winter 2021)
 BIO404H5 , Invertebrate Neurobiology ,0.5,Science,None,BIO304H5,None
 BIO405H5 , Evolutionary Perspectives on Behaviour ,0.5,Science,None,BIO304H5 and ( BIO320H5 or  BIO318Y5 or  BIO328H5),PSY362H5
 BIO406H5 , Current Topics in Ecology and Evolution ,0.5,Science,BIO313H5,"BIO205H5 and ( BIO259H5 or  STA215H5 or  BIO360H5)
* STA215H5 will no longer be accepted as an appropriate prerequisite course AFTER the 2022-2023 Academic year. Beginning in the 2023-2024 Academic year all students will be required to complete  BIO259H5 or  BIO360H5 as the statistics prerequisite course.",None
 BIO407H5 , Behaviour Genetics ,0.5,Science,BIO206H5 and  BIO215H5 and  BIO304H5,"BIO207H5 and  BIO318Y5Y and ( BIO259H5 or  BIO360H5 or  STA215H5)
* STA215H5 will no longer be accepted as an appropriate prerequisite course AFTER 2022-2023 Academic year. Beginning 2023-2024 Academic year all students will be required to complete  BIO259H5 or  BIO360H5 as the statistics prerequisite course.",None
 BIO408H5 , Neural Circuit Structure and Function ,0.5,Science,None,BIO202H5 or  BIO304H5 or Permission of Instructor.,BIO483H5 Winter 2019
 BIO409H5 , Laboratory in Animal Physiology ,0.5,Science,None,BIO304H5 and ( BIO202H5 or  BIO204H5 or  BIO310H5),None
 BIO410H5 , Insect Physiology ,0.5,Science,None,BIO202H5 or  BIO204H5,None
 BIO411H5 , Topics in Molecular and Cellular Physiology ,0.5,Science,BIO314H5,BIO315H5,None
 BIO412H5 , Climate Change Biology ,0.5,Science,BIO313H5,BIO205H5 and ( BIO202H5 or  BIO203H5) and ( GGR377H5 or  BIO312H5 or  BIO330H5 or  BIO331H5 or  BIO333H5),None
