Program,Courses,Pre-Requisites
Computer Science,  CSC384H5 ,CSC263H5 and ( STA246H5 or  STA256H5)
Computer Science,  CSC392H5 ,A minimum of 8.0 credits and Permission of Instructor
Computer Science,  CSC393H5 ,
Computer Science,  CSC398H5 ,A minimum of 8.0 credits and permission of instructor
Computer Science,  CSC399Y5 ,
Computer Science,  CSC404H5 ,Two of ( CSC301H5 or  CSC318H5 or  CSC384H5 or  CSC418H1)
Computer Science,  CSC409H5 ,CSC309H5 and  CSC369H5 and  CSC373H5
Computer Science,  CSC413H5 ,CSC311H5 or  CSC411H5
Computer Science,  CSC415H5 ,CSC311H5
Computer Science,  CSC420H5 ,CSC263H5 and  CSC338H5
Computer Science,  CSC422H5 ,CSC363H5
Computer Science,  CSC423H5 ,CSC333H5 and  CSC369H5
Computer Science,  CSC427H5 ,CSC347H5 and  CSC369H5
Computer Science,  CSC428H5 ,CSC318H5 and ( STA246H5 or  STA256H5) and ( CSC207H5 or proficiency in Java) and (CGPA 3.0 or enrolment in a CSC subject POSt)
Computer Science,  CSC458H5 ,CSC209H5 and  CSC258H5 and  CSC263H5
Computer Science,  CSC469H5 ,CSC369H5
Computer Science,  CSC475H5 ,CSC311H5 and  STA256H5
Computer Science,  CSC476H5 ,CSC338H5 and  CSC376H5 and  MAT224H5
Computer Science,  CSC477H5 ,CSC209H5 and ( MAT223H5 or  MAT240H5) and  MAT232H5 and ( STA246H5 or  STA256H5) and  CSC376H5
Computer Science,  CSC478H5 ,CSC373H5 and ( CSC311H5 or  CSC321H5) and  CSC376H5
Computer Science,  CSC488H5 ,CSC258H5 and  CSC263H5 and  CSC324H5
Computer Science,  CSC490H5 ,Permission of the instructor and CGPA 3.0/enrolment in a CSC Subject POSt.
Computer Science,  CSC492H5 ,At least three 300-level CSC half-courses and permission of the department.
Computer Science,  CSC493H5 ,At least three 300-level CSC half-courses and permission of the department.
Computer Science,  CSC497H5 ,A minimum of 8.0 credits and permission of instructor
Computer Science,  CSC498H5 ,A minimum of 8.0 credits and permission of instructor
Computer Science,  CSC499Y5 ,
Mathematical Sciences,  MAT102H5 ,Minimum 70% in Grade 12 Advanced Functions (MHF4U)
Mathematical Sciences,  MAT132H5 ,Minimum 70% in Grade 12 Advanced Functions (MHF4U) Highly Recommended: Minimum 70% in Grade 12 Calculus and Vectors (MCV4U)
Mathematical Sciences,  MAT133Y5 ,Minimum 70% in Grade 12 Advanced Functions (MHF4U). Highly Recommended: Minimum 70% in Grade 12 Calculus and Vectors (MCV4U).
Mathematical Sciences,  MAT134H5 ,MAT132H5 or  MAT135H5 or  MAT135H1 or  MATA29H3 or  MATA30H3 or  MATA31H3
Mathematical Sciences,  MAT135H5 ,Minimum 70% in Grade 12 Advanced Functions (MHF4U) Highly Recommended: Minimum 70% in Grade 12 Calculus and Vectors (MCV4U)
Mathematical Sciences,  MAT136H5 ,MAT132H5 or  MAT135H5 or  MAT135H1 or  MATA29H3 or  MATA30H3 or  MATA31H3
Mathematical Sciences,  MAT137Y5 ,"Minimum 70% in Grade 12 Advanced Functions (MHF4U), Minimum 70% in Grade 12 Calculus and Vectors (MCV4U)"
Mathematical Sciences,  MAT157Y5 ,"Minimum 70% in Grade 12 Advanced Functions (MHF4U), Minimum 70% in Grade 12 Calculus and Vectors (MCV4U)"
Mathematical Sciences,  MAT202H5 ,MAT102H5 and ( MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or  MAT233H5)
Mathematical Sciences,  MAT223H5 ,Grade 12 Advanced Functions (MHF4U) and Grade 12 Calculus and Vectors (MCV4U or  MAT102H5).
Mathematical Sciences,  MAT224H5 ,MAT102H5 and  MAT223H5
Mathematical Sciences,  MAT232H5 ,MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5
Mathematical Sciences,  MAT233H5 ,MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or 65% in  MAT133Y5
Mathematical Sciences,  MAT236H5 ,MAT102H5 and ( MAT223H5 or  MAT240H5) and ( MAT232H5 or  MAT233H5)
Mathematical Sciences,  MAT240H5 ,65% in  MAT102H5
Mathematical Sciences,  MAT244H5 ,( MAT134H5 or  MAT136H5 or MAT134Y or MAT135Y or  MAT137Y5 or  MAT157Y5 or  MAT233H5) and ( MAT223H5 or  MAT240H5).
Mathematical Sciences,  MAT247H5 ,MAT240H5 or  MAT240H1
Mathematical Sciences,  MAT257Y5 ,MAT157Y5 and  MAT240H5
Mathematical Sciences,  MAT299Y5 ,Departmental permission.
Mathematical Sciences,  MAT301H5 ,MAT102H5 and ( MAT202H5 or  MAT224H5 or  MAT240H5)
Mathematical Sciences,  MAT302H5 ,( MAT224H5 or  MAT240H5) and  MAT301H5
Mathematical Sciences,  MAT305H5 ,[( MAT224H5 or  MAT240H5) and  MAT236H5] or  MAT257Y5
Mathematical Sciences,  MAT307H5 ,[( MAT224H5 or  MAT240H5) and  MAT232H5] or  MAT257Y5
Mathematical Sciences,  MAT309H5 ,MAT257Y5 or [ MAT236H5 and ( MAT202H5 or  MAT224H5 or  MAT240H5) and at least 0.5 MAT credit at 300+ level]
Mathematical Sciences,  MAT311H5 ,MAT257Y5 or ( MAT236H5 and  MAT244H5)
Mathematical Sciences,  MAT315H5 ,MAT102H5 and (( MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5) or ( MAT133Y5 and  MAT233H5)) and ( MAT224H5 or  MAT240H5) and  MAT301H5
Mathematical Sciences,  MAT322H5 ,MAT102H5 and ( MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or  MAT233H5) and ( MAT223H5 or  MAT240H5)
Mathematical Sciences,  MAT332H5 ,MAT257Y5 or [ MAT236H5 and ( MAT223H5 or  MAT240H5) and  MAT244H5]
Mathematical Sciences,  MAT334H5 ,MAT257Y5 or [( MAT232H5 or  MAT233H5) and ( MAT202H5 or  MAT240H5 or at least 0.5 credit of MAT at the 300+ level with a mark of at least 60%)]
Mathematical Sciences,  MAT337H5 ,MAT257Y5 or [( MAT224H5 or  MAT240H5) and  MAT236H5 and  MAT244H5]
Mathematical Sciences,  MAT344H5 ,MAT102H5 and ( MAT223H5 or  MAT240H5)
Mathematical Sciences,  MAT354H5 ,MAT257Y5 or [( MAT137Y5 or  MAT157Y5) and ( MAT202H5 or  MAT240H5 or  MAT337H5) and ( MAT232H5 or  MAT233H5)]
Mathematical Sciences,  MAT382H5 ,Minimum 60% in ( MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or  MAT233H5) and minimum 60% in  MAT102H5 and ( MAT223H5 or  MAT240H5) and at least one additional MAT half-course at the 200+ level.
Mathematical Sciences,  MAT387H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
Mathematical Sciences,  MAT388H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
Mathematical Sciences,  MAT392H5 ,Completion of the second-year requirements for the Major and Specialists Programs in Mathematical Sciences.
Mathematical Sciences,  MAT397H5 ,Departmental permission and a minimum CGPA of 2.5
Mathematical Sciences,  MAT398H5 ,Departmental permission and a minimum CGPA of 2.5
Mathematical Sciences,  MAT399Y5 ,Departmental permission.
Mathematical Sciences,  MAT401H5 ,( MAT224H5 or  MAT240H5) and ( MAT236H5 or  MAT257Y5) and  MAT301H5
Mathematical Sciences,  MAT402H5 ,MAT102H5 and ( MAT232H5 or  MAT233H5 or  MAT257Y5) and ( MAT224H5 or  MAT240H5) and at least one MAT half-course at the 300+ level.
Mathematical Sciences,  MAT405H5 ,MAT257Y5 or [( MAT224H5 or  MAT240H5) and  MAT236H5 and at least 0.5 credit of MAT at the 300+ level with a mark of at least 65%]
Mathematical Sciences,  MAT406H5 ,MAT102H5 and ( MAT223H5 or  MAT240H5) and  STA256H5
Mathematical Sciences,  MAT478H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
Mathematical Sciences,  MAT488H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
Mathematical Sciences,  MAT492H5 ,MAT392H5 and 2.0 additional credits in MAT at the 300 level and a minimum CGPA of 2.5
Mathematical Sciences,  MAT497H5 ,Departmental permission and a minimum CGPA of 2.5
Mathematical Sciences,  MAT498H5 ,Departmental permission and a minimum CGPA of 2.5
Mathematical Sciences,  MAT499Y5 ,Departmental permission.
